Data;Hora;
09/04/2018;10:35:57;
09/04/2018;10:36:11;
09/04/2018;10:36:28;
09/04/2018;10:36:34;
09/04/2018;10:36:38;
09/04/2018;10:36:44;
09/04/2018;10:36:49;
09/04/2018;10:36:58;
09/04/2018;10:37:01;
09/04/2018;10:37:05;
09/04/2018;10:37:13;
09/04/2018;10:37:21;
09/04/2018;10:37:27;
09/04/2018;10:37:32;
09/04/2018;10:37:40;
09/04/2018;10:37:45;
09/04/2018;10:37:48;
09/04/2018;10:37:55;
09/04/2018;10:38:00;
09/04/2018;10:38:05;
09/04/2018;10:38:10;
09/04/2018;10:38:19;
09/04/2018;10:38:23;
09/04/2018;10:38:27;
09/04/2018;10:38:33;
09/04/2018;10:38:39;
09/04/2018;10:39:01;
09/04/2018;10:39:13;
09/04/2018;10:39:19;
09/04/2018;10:39:42;
09/04/2018;10:39:47;
09/04/2018;10:39:50;
09/04/2018;10:39:59;
09/04/2018;10:40:02;
09/04/2018;10:40:05;
09/04/2018;10:40:07;
09/04/2018;10:40:10;
09/04/2018;10:40:13;
09/04/2018;10:40:18;
09/04/2018;10:40:21;
09/04/2018;10:40:24;
09/04/2018;10:40:28;
09/04/2018;10:40:32;
09/04/2018;10:40:34;
09/04/2018;10:40:38;
09/04/2018;10:40:46;
09/04/2018;10:40:50;
09/04/2018;10:40:54;
09/04/2018;10:40:58;
09/04/2018;10:41:09;
09/04/2018;10:41:12;
09/04/2018;10:41:24;
09/04/2018;10:41:35;
09/04/2018;10:41:39;
09/04/2018;10:41:48;
09/04/2018;10:41:52;
09/04/2018;10:42:00;
09/04/2018;10:42:15;
09/04/2018;10:42:21;
09/04/2018;10:42:34;
09/04/2018;10:42:46;
09/04/2018;10:42:55;
09/04/2018;10:42:59;
09/04/2018;10:43:02;
09/04/2018;10:43:05;
09/04/2018;10:43:09;
09/04/2018;10:43:14;
09/04/2018;10:43:18;
09/04/2018;10:43:31;
09/04/2018;10:43:36;
09/04/2018;10:43:44;
09/04/2018;10:43:48;
09/04/2018;10:43:59;
09/04/2018;10:44:14;
09/04/2018;10:44:23;
09/04/2018;10:44:26;
09/04/2018;10:44:31;
09/04/2018;10:44:37;
09/04/2018;10:44:41;
09/04/2018;10:44:47;
09/04/2018;10:44:50;
09/04/2018;10:45:06;
09/04/2018;10:45:10;
09/04/2018;10:45:30;
09/04/2018;10:45:34;
09/04/2018;10:45:40;
09/04/2018;10:45:44;
09/04/2018;10:45:51;
09/04/2018;10:45:55;
09/04/2018;10:46:11;
09/04/2018;10:46:15;
09/04/2018;10:46:19;
09/04/2018;10:46:24;
09/04/2018;10:46:38;
09/04/2018;10:46:50;
09/04/2018;10:46:54;
09/04/2018;10:47:00;
09/04/2018;10:47:12;
09/04/2018;10:47:33;
09/04/2018;10:47:43;
09/04/2018;10:47:54;
09/04/2018;10:48:01;
09/04/2018;10:48:07;
09/04/2018;10:48:13;
09/04/2018;10:48:18;
09/04/2018;10:48:33;
09/04/2018;10:48:41;
09/04/2018;10:48:46;
09/04/2018;10:48:50;
09/04/2018;10:48:53;
09/04/2018;10:49:02;
09/04/2018;10:49:16;
09/04/2018;10:49:22;
09/04/2018;10:49:25;
09/04/2018;10:49:35;
09/04/2018;10:49:39;
09/04/2018;10:49:45;
09/04/2018;10:49:50;
09/04/2018;10:49:57;
09/04/2018;10:50:01;
09/04/2018;10:50:06;
09/04/2018;10:50:19;
09/04/2018;10:50:41;
09/04/2018;10:50:45;
09/04/2018;10:50:54;
09/04/2018;10:50:58;
09/04/2018;10:51:06;
09/04/2018;10:51:16;
09/04/2018;10:51:22;
09/04/2018;10:51:31;
09/04/2018;10:51:42;
09/04/2018;10:51:48;
09/04/2018;10:51:50;
09/04/2018;10:51:55;
09/04/2018;10:52:02;
09/04/2018;10:52:09;
09/04/2018;10:52:15;
09/04/2018;10:52:22;
09/04/2018;10:52:25;
09/04/2018;10:52:30;
09/04/2018;10:53:05;
09/04/2018;10:53:12;
09/04/2018;10:53:19;
09/04/2018;10:53:24;
09/04/2018;10:53:32;
09/04/2018;10:53:39;
09/04/2018;10:53:46;
09/04/2018;10:53:59;
09/04/2018;10:54:02;
09/04/2018;10:54:04;
09/04/2018;10:54:06;
09/04/2018;10:54:08;
09/04/2018;10:54:14;
09/04/2018;10:54:25;
09/04/2018;10:54:29;
09/04/2018;10:54:34;
09/04/2018;10:54:41;
09/04/2018;10:54:46;
09/04/2018;10:54:54;
09/04/2018;10:55:15;
09/04/2018;10:55:27;
09/04/2018;10:55:33;
09/04/2018;10:56:08;
09/04/2018;10:56:15;
09/04/2018;10:56:26;
09/04/2018;10:56:30;
09/04/2018;10:56:40;
09/04/2018;10:56:50;
09/04/2018;10:56:56;
09/04/2018;10:57:05;
09/04/2018;10:57:11;
09/04/2018;10:57:16;
09/04/2018;10:57:21;
09/04/2018;10:57:27;
09/04/2018;10:57:35;
09/04/2018;10:57:41;
09/04/2018;10:57:45;
09/04/2018;10:57:55;
09/04/2018;10:58:03;
09/04/2018;10:58:13;
09/04/2018;10:58:20;
09/04/2018;10:58:32;
09/04/2018;10:58:35;
09/04/2018;10:58:38;
