Data;Hora;
25/04/2018;10:35:09;
25/04/2018;10:35:37;
25/04/2018;10:35:54;
25/04/2018;10:36:04;
25/04/2018;10:36:13;
25/04/2018;10:36:29;
25/04/2018;10:36:34;
25/04/2018;10:36:38;
25/04/2018;10:36:52;
25/04/2018;10:36:56;
25/04/2018;10:37:07;
25/04/2018;10:37:09;
25/04/2018;10:37:19;
25/04/2018;10:37:23;
25/04/2018;10:37:32;
25/04/2018;10:37:48;
25/04/2018;10:37:52;
25/04/2018;10:37:54;
25/04/2018;10:38:02;
25/04/2018;10:38:13;
25/04/2018;10:38:28;
25/04/2018;10:38:30;
25/04/2018;10:38:37;
25/04/2018;10:38:49;
25/04/2018;10:38:53;
25/04/2018;10:38:58;
25/04/2018;10:39:07;
25/04/2018;10:39:19;
25/04/2018;10:39:26;
25/04/2018;10:39:29;
25/04/2018;10:39:41;
25/04/2018;10:39:43;
25/04/2018;10:39:50;
25/04/2018;10:39:54;
25/04/2018;10:40:11;
25/04/2018;10:40:14;
25/04/2018;10:40:23;
25/04/2018;10:40:27;
25/04/2018;10:40:40;
25/04/2018;10:40:47;
25/04/2018;10:40:53;
25/04/2018;10:40:56;
25/04/2018;10:41:00;
25/04/2018;10:41:04;
25/04/2018;10:41:08;
25/04/2018;10:41:12;
25/04/2018;10:41:17;
25/04/2018;10:41:28;
25/04/2018;10:41:32;
25/04/2018;10:41:44;
25/04/2018;10:41:47;
25/04/2018;10:41:54;
25/04/2018;10:41:57;
25/04/2018;10:42:05;
25/04/2018;10:42:10;
25/04/2018;10:42:22;
25/04/2018;10:42:25;
25/04/2018;10:42:30;
25/04/2018;10:42:38;
25/04/2018;10:42:39;
25/04/2018;10:42:52;
25/04/2018;10:42:55;
25/04/2018;10:43:00;
25/04/2018;10:43:21;
25/04/2018;10:43:25;
25/04/2018;10:43:44;
25/04/2018;10:43:51;
25/04/2018;10:44:08;
25/04/2018;10:44:11;
25/04/2018;10:44:17;
25/04/2018;10:44:27;
25/04/2018;10:44:32;
25/04/2018;10:44:38;
25/04/2018;10:44:44;
25/04/2018;10:44:53;
25/04/2018;10:45:00;
25/04/2018;10:45:06;
25/04/2018;10:45:11;
25/04/2018;10:45:22;
25/04/2018;10:45:25;
25/04/2018;10:45:53;
25/04/2018;10:45:57;
25/04/2018;10:46:28;
25/04/2018;10:46:34;
25/04/2018;10:46:38;
25/04/2018;10:46:45;
25/04/2018;10:46:51;
25/04/2018;10:46:55;
25/04/2018;10:47:07;
25/04/2018;10:47:28;
25/04/2018;10:47:31;
25/04/2018;10:47:40;
25/04/2018;10:47:49;
25/04/2018;10:47:57;
25/04/2018;10:48:17;
25/04/2018;10:48:22;
25/04/2018;10:48:48;
25/04/2018;10:48:50;
25/04/2018;10:48:55;
25/04/2018;10:49:00;
25/04/2018;10:49:06;
25/04/2018;10:49:12;
25/04/2018;10:49:31;
25/04/2018;10:49:38;
25/04/2018;10:49:41;
25/04/2018;10:49:52;
25/04/2018;10:49:56;
25/04/2018;10:50:10;
25/04/2018;10:50:13;
25/04/2018;10:50:19;
25/04/2018;10:50:42;
25/04/2018;10:50:46;
25/04/2018;10:50:56;
25/04/2018;10:50:59;
25/04/2018;10:51:02;
25/04/2018;10:51:11;
25/04/2018;10:51:15;
25/04/2018;10:51:19;
25/04/2018;10:51:24;
25/04/2018;10:51:29;
25/04/2018;10:51:31;
25/04/2018;10:51:43;
25/04/2018;10:52:00;
25/04/2018;10:52:03;
25/04/2018;10:52:09;
25/04/2018;10:52:16;
25/04/2018;10:52:22;
25/04/2018;10:52:25;
25/04/2018;10:52:34;
25/04/2018;10:52:43;
25/04/2018;10:52:47;
25/04/2018;10:52:51;
25/04/2018;10:52:53;
25/04/2018;10:53:00;
25/04/2018;10:53:07;
25/04/2018;10:53:14;
25/04/2018;10:53:20;
25/04/2018;10:53:34;
25/04/2018;10:53:41;
25/04/2018;10:53:47;
25/04/2018;10:53:52;
25/04/2018;10:54:08;
25/04/2018;10:54:13;
25/04/2018;10:54:15;
25/04/2018;10:54:21;
25/04/2018;10:54:27;
25/04/2018;10:54:31;
25/04/2018;10:54:34;
25/04/2018;10:54:47;
25/04/2018;10:54:58;
25/04/2018;10:55:16;
25/04/2018;10:55:32;
25/04/2018;10:55:34;
25/04/2018;10:55:44;
25/04/2018;10:55:46;
25/04/2018;10:55:55;
